title,count,mean,std,min,25%,50%,75%,max
金色阳光,13.0,9211.0,945.0,6682.0,8999.0,9336.0,9631.0,10678.0
金色阳光家园,56.0,14884.0,1147.0,12238.0,14166.0,14926.0,15584.0,17659.0
金苑新居,3.0,10642.0,777.0,9760.0,10350.0,10940.0,11083.0,11226.0
金苑玉庭小区,25.0,11466.0,805.0,9824.0,11053.0,11517.0,11912.0,13081.0
金荣园,1.0,21403.0,,21403.0,21403.0,21403.0,21403.0,21403.0
金荣路,2.0,11940.0,2174.0,10402.0,11171.0,11940.0,12708.0,13477.0
金莲怡园,9.0,7941.0,968.0,5622.0,7947.0,8252.0,8509.0,8758.0
金连佳地,28.0,14222.0,1898.0,9690.0,13094.0,14097.0,15858.0,17499.0
金连公寓,1.0,5722.0,,5722.0,5722.0,5722.0,5722.0,5722.0
金连福地,29.0,8330.0,714.0,6626.0,7914.0,8381.0,8690.0,9846.0
金连领地,16.0,8365.0,672.0,7388.0,7910.0,8177.0,8862.0,9524.0
金都嘉园,9.0,9770.0,593.0,8922.0,9437.0,9820.0,10021.0,10855.0
金领公寓,2.0,25218.0,578.0,24809.0,25014.0,25218.0,25422.0,25627.0
金领地,1.0,12094.0,,12094.0,12094.0,12094.0,12094.0,12094.0
金馨园一区,9.0,7814.0,990.0,6107.0,7290.0,7910.0,8385.0,9445.0
金馨园三区,20.0,7516.0,620.0,6468.0,7114.0,7507.0,7936.0,8660.0
金馨园二区,4.0,7814.0,351.0,7512.0,7594.0,7720.0,7941.0,8304.0
金馨园五区,3.0,8280.0,118.0,8149.0,8231.0,8313.0,8346.0,8378.0
金馨园四区,10.0,7744.0,776.0,6391.0,7263.0,7756.0,8177.0,9012.0
金马圣隆,4.0,14769.0,225.0,14538.0,14628.0,14741.0,14882.0,15057.0
金龙路,1.0,10878.0,,10878.0,10878.0,10878.0,10878.0,10878.0
